molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1667955,O=C(O)[C@H](CO)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,50000.0
CHEMBL1667956,C[C@@H](O)[C@@H](C(=O)O)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,50000.0
CHEMBL1667957,O=C(O)[C@H](Cc1ccccc1)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,15700.0
CHEMBL1667958,O=C(O)[C@H](Cc1ccc(O)cc1)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,20600.0
CHEMBL1667959,O=C(O)[C@H](Cc1ccccc1)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,17400.0
CHEMBL1667960,O=C(O)[C@H](Cc1ccc(O)cc1)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,33300.0
CHEMBL1667961,COC(=O)[C@H](Cc1ccc(O)cc1)n1cc(CNC(=O)c2ccccc2)nn1,inactive,50000.0
CHEMBL1667962,O=C(NCc1cn([C@@H](Cc2ccc(O)cc2)C(=O)O)nn1)c1ccccc1,inactive,50000.0
CHEMBL472003,c1cc(CN2CCCC2)cc(-c2nnnn2[C@H]2CO[C@@H]3C[C@@H](NCC4CCCCC4)O[C@H]23)c1,inactive,2500.0
CHEMBL501993,O=S(=O)([O-])c1ccc2cc(/N=N/c3cc(S(=O)(=O)[O-])c4cccnc4c3O)ccc2c1.[Na+].[Na+],active,320.0
CHEMBL1773168,CCCCc1ccc(NS(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3)cc1,inactive,50000.0
CHEMBL1773180,COc1ccc(N2CCN(C(c3cccs3)C(C)NC(=O)C(=O)NCc3ccco3)CC2)cc1,inactive,50000.0
CHEMBL1773181,CC(NC(=O)C(=O)NCc1cccnc1)C(c1cccs1)N1CCN(c2ccc(F)cc2)CC1,inactive,50000.0
CHEMBL1795944,CO[C@H]1O[C@H](Cn2cc(COC[C@H](NC(=O)OC(C)(C)C)C(=O)O)nn2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,inactive,120000.0
CHEMBL1795945,CO[C@H]1O[C@H](Cn2cc(CO[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O)nn2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,inactive,120000.0
CHEMBL1795946,CO[C@H]1O[C@H](Cn2cc(COC[C@H](NC(=O)OC(C)(C)C)C(=O)O)nn2)[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,inactive,120000.0
CHEMBL1795947,CO[C@H]1O[C@H](Cn2cc(CO[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O)nn2)[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,inactive,120000.0
CHEMBL1795948,CO[C@H]1O[C@H](Cn2cc(COC[C@H](NC(=O)OC(C)(C)C)C(=O)O)nn2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,inactive,120000.0
CHEMBL1795949,CO[C@H]1O[C@H](Cn2cc(CO[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O)nn2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,inactive,120000.0
CHEMBL1795950,CC(C)(C)OC(=O)N[C@@H](COCc1cn([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1)C(=O)O,inactive,47600.0
CHEMBL1795951,C[C@H](OCc1cn([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1)[C@H](NC(=O)OC(C)(C)C)C(=O)O,inactive,120000.0
CHEMBL1795952,CC(C)(C)OC(=O)N[C@@H](COCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)nn1)C(=O)O,inactive,120000.0
CHEMBL1800272,CC(=O)N(c1ccc2oc3c(c2c1)CCCC3)S(=O)(=O)c1ccc(C(=O)O)cc1,inactive,181000.0
CHEMBL579363,CC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3cccc(C(=O)O)c3)cc12,inactive,176000.0
CHEMBL1800273,Cc1cc(S(=O)(=O)O)c(S(=O)(=O)O)cc1N1N=C(C(=O)O)CC1=O,inactive,8300.0
CHEMBL1800274,Cc1cc(S(=O)(=O)O)ccc1N1N=C(C(=O)O)CC1=O,inactive,41000.0
CHEMBL214303,O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1,inactive,155000.0
CHEMBL1800273,Cc1cc(S(=O)(=O)O)c(S(=O)(=O)O)cc1N1N=C(C(=O)O)CC1=O,inactive,26000.0
CHEMBL1800273,Cc1cc(S(=O)(=O)O)c(S(=O)(=O)O)cc1N1N=C(C(=O)O)CC1=O,inactive,56000.0
CHEMBL1822606,CO[C@H]1O[C@H](COCc2cn(CCCCOc3ccc(O)c(C(=O)O)c3)nn2)[C@@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,inactive,54300.0
CHEMBL1822607,CO[C@H]1O[C@H](COCc2cn(CCCCCOc3ccc(O)c(C(=O)O)c3)nn2)[C@@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,inactive,34500.0
CHEMBL1946243,CCOP(=O)(OCC)[C@H](Nc1ccc(Cl)cc1)c1ccccc1O,inactive,10000000.0
CHEMBL1946244,CCOP(=O)(OCC)[C@H](Nc1ccc(Br)cc1)c1ccccc1O,inactive,10000000.0
CHEMBL1946245,CCOP(=O)(OCC)[C@H](Nc1ccc([N+](=O)[O-])cc1)c1ccccc1O,inactive,10000000.0
CHEMBL1946246,CCOP(=O)(OCC)[C@H](Nc1ccccc1Cl)c1ccccc1O,inactive,10000000.0
CHEMBL1946247,O=P(O)(O)[C@H](Nc1ccc(O)cc1)c1ccccc1O,inactive,10000000.0
CHEMBL1946248,CCOP(=O)(O)C(N[C@@H](CO)C(=O)[O-])c1ccccc1O.[Na+],inactive,191000.0
CHEMBL1946249,CCOP(=O)(O)C(N[C@@H](Cc1cnc[nH]1)C(=O)[O-])c1ccccc1O.[Na+],inactive,210000.0
CHEMBL1946250,CCOP(=O)(O)C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-])c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1946251,CCOP(=O)(O)C(N[C@@H](CS)C(=O)[O-])c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1946252,CCOP(=O)(O)C(N[C@@H](Cc1ccccc1)C(=O)[O-])c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1946383,CCOP(=O)(O)C(N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1946384,CCOP(=O)(O)C(NCCCCCCNC(c1ccccc1O)P(=O)(O)OCC)c1ccccc1O,inactive,10000000.0
CHEMBL1946385,CCOP(=O)(O)C(NCCCNC(c1ccccc1O)P(=O)(O)OCC)c1ccccc1O,inactive,10000000.0
CHEMBL1946386,CCOP(=O)(O)C(NCCNC(c1ccccc1O)P(=O)(O)OCC)c1ccccc1O,inactive,10000000.0
CHEMBL1946387,CCOP(=O)(O)C(NCC(=O)[O-])c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1946388,CCOP(=O)(O)C(N[C@@H](C)C(=O)[O-])c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1946389,CCOP(=O)(O)C(N[C@H](C(=O)[O-])[C@@H](C)O)c1ccccc1O.[Na+],inactive,10000000.0
CHEMBL1304265,O=C(COc1ccc([N+](=O)[O-])cc1)Nc1nnc(-c2cccnc2)s1,inactive,2440.0
CHEMBL1984990,O=C(O)CC/C(=N\Nc1ccc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-])c1cccs1,inactive,14500.0
CHEMBL1985091,O=C(N/N=C/c1cccc([N+](=O)[O-])c1)c1ccc(Br)cc1,inactive,6620.0
CHEMBL1964442,O=C(N/N=C/c1ccoc1)c1cc(O)cc(O)c1,active,952.0
CHEMBL1515727,COc1cccc(Nc2nn3c(=O)c4ccccc4nc3s2)c1,inactive,9220.0
CHEMBL1537922,NC(=O)C1(N2CCCCC2)CCN(C(S)=Nc2ccc(S(N)(=O)=O)cc2)CC1,inactive,2000.0
CHEMBL1410244,CCN1CCN(C(=S)c2ccc(Cl)cc2)CC1,active,318.0
CHEMBL1314584,Cc1ccc(NC(=O)c2ccc3nc(N4CCOCC4)sc3c2)c(Cl)c1,inactive,1970.0
CHEMBL1518926,CCOc1ccc(C(=O)Nc2cc(-c3nc4ccccc4[nH]3)ccc2Cl)cc1[N+](=O)[O-],inactive,2140.0
